timestamp,regime
2026-06-03 09:00:00+00:00,FAT_FINGER
2026-06-03 09:00:00.840000+00:00,FAT_FINGER
2026-06-03 09:00:01.680000+00:00,FAT_FINGER
2026-06-03 09:00:03.360000+00:00,FAT_FINGER
2026-06-03 09:00:04.200000+00:00,FAT_FINGER
2026-06-03 09:00:05.040000+00:00,FAT_FINGER
2026-06-03 09:00:05.880000+00:00,FAT_FINGER
2026-06-03 09:00:06.720000+00:00,FAT_FINGER
2026-06-03 09:00:07.560000+00:00,FAT_FINGER
2026-06-03 09:00:08.400000+00:00,FAT_FINGER
2026-06-03 09:00:09.240000+00:00,FAT_FINGER
2026-06-03 09:00:10.080000+00:00,FAT_FINGER
2026-06-03 09:00:10.920000+00:00,FAT_FINGER
2026-06-03 09:00:11.760000+00:00,FAT_FINGER
2026-06-03 09:00:12.600000+00:00,FAT_FINGER
2026-06-03 09:00:13.440000+00:00,FAT_FINGER
2026-06-03 09:00:14.280000+00:00,FAT_FINGER
2026-06-03 09:00:15.120000+00:00,FAT_FINGER
2026-06-03 09:00:15.960000+00:00,FAT_FINGER
2026-06-03 09:00:16.800000+00:00,FAT_FINGER
2026-06-03 09:00:17.640000+00:00,FAT_FINGER
2026-06-03 09:00:18.480000+00:00,FAT_FINGER
2026-06-03 09:00:19.320000+00:00,FAT_FINGER
2026-06-03 09:00:20.160000+00:00,FAT_FINGER
2026-06-03 09:00:21+00:00,FAT_FINGER
2026-06-03 09:00:21.840000+00:00,FAT_FINGER
2026-06-03 09:00:22.680000+00:00,FAT_FINGER
2026-06-03 09:00:23.520000+00:00,FAT_FINGER
2026-06-03 09:00:24.360000+00:00,FAT_FINGER
2026-06-03 09:00:25.200000+00:00,FAT_FINGER
2026-06-03 09:00:26.040000+00:00,FAT_FINGER
2026-06-03 09:00:26.880000+00:00,FAT_FINGER
2026-06-03 09:00:27.720000+00:00,FAT_FINGER
2026-06-03 09:00:28.560000+00:00,FAT_FINGER
2026-06-03 09:00:29.400000+00:00,FAT_FINGER
2026-06-03 09:00:30.240000+00:00,FAT_FINGER
2026-06-03 09:00:31.080000+00:00,FAT_FINGER
2026-06-03 09:00:31.920000+00:00,FAT_FINGER
2026-06-03 09:00:33.600000+00:00,FAT_FINGER
2026-06-03 09:00:34.440000+00:00,FAT_FINGER
2026-06-03 09:00:35.280000+00:00,FAT_FINGER
2026-06-03 09:00:36.120000+00:00,FAT_FINGER
2026-06-03 09:00:36.960000+00:00,FAT_FINGER
2026-06-03 09:00:37.800000+00:00,FAT_FINGER
2026-06-03 09:00:38.640000+00:00,FAT_FINGER
2026-06-03 09:00:39.480000+00:00,FAT_FINGER
2026-06-03 09:00:40.320000+00:00,FAT_FINGER
2026-06-03 09:00:41.160000+00:00,FAT_FINGER
2026-06-03 09:00:42+00:00,FAT_FINGER
2026-06-03 09:00:42.840000+00:00,FAT_FINGER
2026-06-03 09:00:43.680000+00:00,FAT_FINGER
2026-06-03 09:00:44.520000+00:00,FAT_FINGER
2026-06-03 09:00:45.360000+00:00,FAT_FINGER
2026-06-03 09:00:46.200000+00:00,FAT_FINGER
2026-06-03 09:00:47.040000+00:00,FAT_FINGER
2026-06-03 09:00:47.880000+00:00,FAT_FINGER
2026-06-03 09:00:48.720000+00:00,FAT_FINGER
2026-06-03 09:00:49.560000+00:00,FAT_FINGER
2026-06-03 09:00:50.400000+00:00,FAT_FINGER
2026-06-03 09:00:51.240000+00:00,FAT_FINGER
2026-06-03 09:00:52.080000+00:00,FAT_FINGER
2026-06-03 09:00:52.920000+00:00,FAT_FINGER
2026-06-03 09:00:53.760000+00:00,FAT_FINGER
2026-06-03 09:00:54.600000+00:00,FAT_FINGER
2026-06-03 09:00:55.440000+00:00,FAT_FINGER
2026-06-03 09:00:56.280000+00:00,FAT_FINGER
2026-06-03 09:00:57.120000+00:00,FAT_FINGER
2026-06-03 09:00:57.960000+00:00,FAT_FINGER
2026-06-03 09:00:58.800000+00:00,FAT_FINGER
2026-06-03 09:01:00.480000+00:00,FAT_FINGER
2026-06-03 09:01:01.320000+00:00,FAT_FINGER
2026-06-03 09:01:02.160000+00:00,FAT_FINGER
2026-06-03 09:01:03+00:00,FAT_FINGER
2026-06-03 09:01:03.840000+00:00,FAT_FINGER
2026-06-03 09:01:04.680000+00:00,FAT_FINGER
2026-06-03 09:01:05.520000+00:00,FAT_FINGER
2026-06-03 09:01:06.360000+00:00,FAT_FINGER
2026-06-03 09:01:07.200000+00:00,FAT_FINGER
2026-06-03 09:01:08.040000+00:00,FAT_FINGER
2026-06-03 09:01:08.880000+00:00,FAT_FINGER
2026-06-03 09:01:09.720000+00:00,FAT_FINGER
2026-06-03 09:01:10.560000+00:00,FAT_FINGER
2026-06-03 09:01:11.400000+00:00,FAT_FINGER
2026-06-03 09:01:12.240000+00:00,FAT_FINGER
2026-06-03 09:01:13.080000+00:00,FAT_FINGER
2026-06-03 09:01:13.920000+00:00,FAT_FINGER
2026-06-03 09:01:14.760000+00:00,FAT_FINGER
2026-06-03 09:01:15.600000+00:00,FAT_FINGER
2026-06-03 09:01:16.440000+00:00,FAT_FINGER
2026-06-03 09:01:17.280000+00:00,FAT_FINGER
2026-06-03 09:01:18.120000+00:00,FAT_FINGER
2026-06-03 09:01:18.960000+00:00,FAT_FINGER
2026-06-03 09:01:19.800000+00:00,FAT_FINGER
2026-06-03 09:01:20.640000+00:00,FAT_FINGER
2026-06-03 09:01:21.480000+00:00,FAT_FINGER
2026-06-03 09:01:22.320000+00:00,FAT_FINGER
2026-06-03 09:01:23.160000+00:00,FAT_FINGER
2026-06-03 09:01:24+00:00,FAT_FINGER
2026-06-03 09:01:24.840000+00:00,FAT_FINGER
2026-06-03 09:01:25.680000+00:00,FAT_FINGER
2026-06-03 09:01:26.520000+00:00,FAT_FINGER
2026-06-03 09:01:27.360000+00:00,FAT_FINGER
2026-06-03 09:01:28.200000+00:00,FAT_FINGER
2026-06-03 09:01:29.040000+00:00,FAT_FINGER
2026-06-03 09:01:29.880000+00:00,FAT_FINGER
